key,cat,val
sft3,num_unique_words,236.0
sft3,num_unique_words,251.0
sft3,num_unique_words,166.0
sft3,num_unique_words,266.0
sft3,num_unique_words,161.0
sft3,num_unique_words,189.0
sft3,num_unique_words,269.0
sft3,num_unique_words,277.0
sft3,num_unique_words,119.0
sft3,num_unique_words,212.0
sft3,num_unique_words,191.0
sft3,num_unique_words,170.0
sft3,num_unique_words,230.0
sft3,num_unique_words,284.0
sft3,num_unique_words,351.0
sft3,num_unique_words,51.0
sft3,num_unique_words,261.0
sft3,num_unique_words,244.0
sft3,num_unique_words,254.0
sft3,num_unique_words,290.0
sft3,num_unique_words,215.0
sft3,num_unique_words,243.0
sft3,num_unique_words,291.0
sft3,num_unique_words,187.0
sft3,num_unique_words,344.0
sft3,num_unique_words,196.0
sft3,num_unique_words,307.0
sft3,num_unique_words,630.0
sft3,num_unique_words,220.0
sft3,num_unique_words,183.0
sft3,num_unique_words,299.0
sft3,num_unique_words,149.0
sft3,num_unique_words,246.0
sft3,num_unique_words,374.0
sft3,num_unique_words,135.0
sft3,num_unique_words,235.0
sft3,num_unique_words,610.0
sft3,num_unique_words,90.0
sft3,num_unique_words,174.0
sft3,num_unique_words,283.0
sft3,num_unique_words,282.0
sft3,num_unique_words,238.0
sft3,num_unique_words,166.0
sft3,num_unique_words,267.0
sft3,num_unique_words,79.0
sft3,num_unique_words,96.0
sft3,num_unique_words,204.0
sft3,num_unique_words,176.0
sft3,num_unique_words,327.0
sft3,num_unique_words,244.0
sft3,num_unique_words,38.0
sft3,num_unique_words,201.0
sft3,num_unique_words,302.0
sft3,num_unique_words,97.0
sft3,num_unique_words,78.0
sft3,num_unique_words,257.0
sft3,num_unique_words,435.0
sft3,num_unique_words,355.0
sft3,num_unique_words,267.0
sft3,num_unique_words,391.0
sft3,num_unique_words,277.0
sft3,num_unique_words,384.0
sft3,num_unique_words,379.0
sft3,num_unique_words,222.0
sft3,num_unique_words,430.0
sft3,num_unique_words,177.0
sft3,num_unique_words,329.0
sft3,num_unique_words,250.0
sft3,num_unique_words,247.0
sft3,num_unique_words,320.0
sft3,num_unique_words,319.0
sft3,num_unique_words,235.0
sft3,num_unique_words,453.0
sft3,num_unique_words,206.0
sft3,num_unique_words,263.0
sft3,num_unique_words,321.0
sft3,num_unique_words,331.0
sft3,num_unique_words,322.0
sft3,num_unique_words,482.0
sft3,num_unique_words,451.0
sft3,num_unique_words,188.0
sft3,num_unique_words,281.0
sft3,num_unique_words,350.0
sft3,num_unique_words,266.0
sft3,num_unique_words,344.0
sft3,num_unique_words,224.0
sft3,num_unique_words,239.0
sft3,num_unique_words,232.0
sft3,num_unique_words,219.0
sft3,num_unique_words,236.0
sft3,num_unique_words,89.0
sft3,num_unique_words,91.0
sft3,num_unique_words,151.0
sft3,num_unique_words,98.0
sft3,num_unique_words,233.0
sft3,num_unique_words,271.0
sft3,num_unique_words,331.0
sft3,num_unique_words,247.0
sft3,num_unique_words,197.0
sft3,num_unique_words,189.0
sft3,num_unique_words,165.0
sft3,num_unique_words,265.0
sft3,num_unique_words,243.0
sft3,num_unique_words,249.0
sft3,num_unique_words,325.0
sft3,num_unique_words,285.0
sft3,num_unique_words,226.0
sft3,num_unique_words,154.0
sft3,num_unique_words,170.0
sft3,num_unique_words,284.0
sft3,num_unique_words,282.0
sft3,num_unique_words,341.0
sft3,num_unique_words,93.0
sft3,num_unique_words,405.0
sft3,num_unique_words,136.0
sft3,num_unique_words,434.0
sft3,num_unique_words,270.0
sft3,num_unique_words,137.0
sft3,num_unique_words,555.0
